地点,日期,小时,温度(℃),风向,风力(级),降水量(mm),相对湿度(%),空气质量指数
怀柔,20260801,00:00,25.3,东南风,1,0,99,
怀柔,20260801,01:00,25.1,西风,1,0,100,
怀柔,20260801,02:00,25.1,,0,0,100,
怀柔,20260801,03:00,25.2,南风,1,0,100,
怀柔,20260801,04:00,25.1,西风,1,0,100,
怀柔,20260801,05:00,25.3,南风,1,0,99,
怀柔,20260801,06:00,25,西南风,1,0,99,
怀柔,20260801,07:00,25,西风,1,0,96,
怀柔,20260801,08:00,25.6,东南风,1,0,96,
怀柔,20260801,09:00,26.5,南风,1,0,91,
怀柔,20260801,10:00,29.6,东南风,1,0,85,
怀柔,20260801,11:00,30.2,东南风,1,0,80,
怀柔,20260801,12:00,30.8,东北风,1,0,79,
怀柔,20260801,13:00,32.2,东南风,1,0,71,
怀柔,20260801,14:00,33,东北风,1,0,68,
怀柔,20260801,15:00,31.9,东南风,2,0,72,
怀柔,20260801,16:00,33.1,东风,1,0,70,
怀柔,20260801,17:00,33,东风,1,0,68,
怀柔,20260801,18:00,31.8,东北风,1,0,76,
怀柔,20260801,19:00,25.1,西南风,2,26.9,94,
怀柔,20260801,20:00,25.2,北风,2,0.2,96,
怀柔,20260801,21:00,25.4,北风,1,0,96,
怀柔,20260801,22:00,25.3,西北风,1,0,99,
怀柔,20260801,23:00,25.3,西北风,1,0,99,
